DATE,DWRSRG3A086NBEA
1929-01-01,2.799
1930-01-01,2.799
1931-01-01,2.799
1932-01-01,2.707
1933-01-01,2.464
1934-01-01,2.494
1935-01-01,2.616
1936-01-01,2.616
1937-01-01,2.616
1938-01-01,2.617
1939-01-01,2.586
1940-01-01,2.647
1941-01-01,2.616
1942-01-01,2.647
1943-01-01,2.646
1944-01-01,2.708
1945-01-01,2.769
1946-01-01,2.829
1947-01-01,2.951
1948-01-01,3.042
1949-01-01,3.072
1950-01-01,3.255
1951-01-01,3.377
1952-01-01,3.681
1953-01-01,3.894
1954-01-01,4.107
1955-01-01,4.502
1956-01-01,4.624
1957-01-01,4.989
1958-01-01,5.293
1959-01-01,5.508
1960-01-01,5.683
1961-01-01,5.832
1962-01-01,5.982
1963-01-01,6.165
1964-01-01,6.256
1965-01-01,6.41
1966-01-01,6.647
1967-01-01,6.801
1968-01-01,7.126
1969-01-01,7.607
1970-01-01,8.21
1971-01-01,9.084
1972-01-01,9.42
1973-01-01,9.927
1974-01-01,10.53
1975-01-01,11.552
1976-01-01,12.845
1977-01-01,14.237
1978-01-01,15.89
1979-01-01,16.638
1980-01-01,17.783
1981-01-01,19.932
1982-01-01,22.328
1983-01-01,24.213
1984-01-01,25.844
1985-01-01,27.436
1986-01-01,29.028
1987-01-01,30.747
1988-01-01,32.569
1989-01-01,34.662
1990-01-01,37.109
1991-01-01,39.969
1992-01-01,42.819
1993-01-01,45.183
1994-01-01,47.406
1995-01-01,48.935
1996-01-01,50.685
1997-01-01,51.936
1998-01-01,53.617
1999-01-01,54.805
2000-01-01,56.15
2001-01-01,57.77
2002-01-01,59.636
2003-01-01,61.829
2004-01-01,65.501
2005-01-01,68.946
2006-01-01,72.334
2007-01-01,75.994
2008-01-01,80.461
2009-01-01,85.306
2010-01-01,90.456
2011-01-01,94.978
2012-01-01,100.0
2013-01-01,104.362
2014-01-01,108.119
2015-01-01,112.772
2016-01-01,116.792
2017-01-01,120.681
2018-01-01,124.922
